"module name","license","repository"
"ini@5.0.0","ISC","https://github.com/npm/ini"
"ioredis@5.10.0","MIT","https://github.com/luin/ioredis"
"ipaddr.js@1.9.1","MIT","https://github.com/whitequark/ipaddr.js"
"is-arrayish@0.3.4","MIT","https://github.com/qix-/node-is-arrayish"
"is-promise@4.0.0","MIT","https://github.com/then/is-promise"
"lodash.defaults@4.2.0","MIT","https://github.com/lodash/lodash"
"lodash.isarguments@3.1.0","MIT","https://github.com/lodash/lodash"
"math-intrinsics@1.1.0","MIT","https://github.com/es-shims/math-intrinsics"
"media-typer@1.1.0","MIT","https://github.com/jshttp/media-typer"
"mediasoup-client@3.18.7","ISC","https://github.com/versatica/mediasoup-client"
"mediasoup@3.19.3","ISC","https://github.com/versatica/mediasoup"
"merge-descriptors@2.0.0","MIT","https://github.com/sindresorhus/merge-descriptors"
"mime-db@1.54.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@3.0.2","MIT","https://github.com/jshttp/mime-types"
"minipass@7.1.3","BlueOak-1.0.0","https://github.com/isaacs/minipass"
"minizlib@3.1.0","MIT","https://github.com/isaacs/minizlib"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"negotiator@1.0.0","MIT","https://github.com/jshttp/negotiator"
"node-addon-api@8.6.0","MIT","https://github.com/nodejs/node-addon-api"
"node-domexception@1.0.0","MIT","https://github.com/jimmywarting/node-domexception"
"node-fetch@3.3.2","MIT","https://github.com/node-fetch/node-fetch"
"node-gyp-build@4.8.4","MIT","https://github.com/prebuild/node-gyp-build"
"object-inspect@1.13.4","MIT","https://github.com/inspect-js/object-inspect"
"on-finished@2.4.1","MIT","https://github.com/jshttp/on-finished"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"path-to-regexp@8.3.0","MIT","https://github.com/pillarjs/path-to-regexp"
"prototype-app@1.0.0","UNKNOWN",""
"proxy-addr@2.0.7","MIT","https://github.com/jshttp/proxy-addr"
"qs@6.15.0","BSD-3-Clause","https://github.com/ljharb/qs"
"range-parser@1.2.1","MIT","https://github.com/jshttp/range-parser"
"raw-body@3.0.2","MIT","https://github.com/stream-utils/raw-body"
"redis-errors@1.2.0","MIT","https://github.com/NodeRedis/redis-errors"
"redis-parser@3.0.0","MIT","https://github.com/NodeRedis/node-redis-parser"
"regenerator-runtime@0.14.1","MIT","https://github.com/facebook/regenerator.git#main"
"router@2.2.0","MIT","https://github.com/pillarjs/router"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"sdp-transform@3.0.0","MIT","https://github.com/clux/sdp-transform"
"semver@7.7.4","ISC","https://github.com/npm/node-semver"
"send@1.2.1","MIT","https://github.com/pillarjs/send"
"serve-static@2.2.1","MIT","https://github.com/expressjs/serve-static"
"setprototypeof@1.2.0","ISC","https://github.com/wesleytodd/setprototypeof"
"sharp@0.33.5","Apache-2.0","https://github.com/lovell/sharp"
"side-channel-list@1.0.0","MIT","https://github.com/ljharb/side-channel-list"
"side-channel-map@1.0.1","MIT","https://github.com/ljharb/side-channel-map"
"side-channel-weakmap@1.0.2","MIT","https://github.com/ljharb/side-channel-weakmap"
"side-channel@1.1.0","MIT","https://github.com/ljharb/side-channel"
"simple-swizzle@0.2.4","MIT","https://github.com/qix-/node-simple-swizzle"
"standard-as-callback@2.1.0","MIT","https://github.com/luin/asCallback"
"statuses@2.0.2","MIT","https://github.com/jshttp/statuses"
"supports-color@10.2.2","MIT","https://github.com/chalk/supports-color"
"tar@7.5.11","BlueOak-1.0.0","https://github.com/isaacs/node-tar"
"three@0.170.0","MIT","https://github.com/mrdoob/three.js"
"toidentifier@1.0.1","MIT","https://github.com/component/toidentifier"
"type-is@2.0.1","MIT","https://github.com/jshttp/type-is"
"typescript@5.9.3","Apache-2.0","https://github.com/microsoft/TypeScript"
"undici-types@7.18.2","MIT","https://github.com/nodejs/undici"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"vary@1.1.2","MIT","https://github.com/jshttp/vary"
"web-streams-polyfill@3.3.3","MIT","https://github.com/MattiasBuelens/web-streams-polyfill"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"ws@8.19.0","MIT","https://github.com/websockets/ws"
"yallist@5.0.0","BlueOak-1.0.0","https://github.com/isaacs/yallist"
